Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy;Rozdzial
Cartesian coordinates;współrzędne Kartezjańskie;;[sound:quizlet-16914769591-front.mp3];[sound:quizlet-16914769591-back.mp3];"<img src=""quizlet-m5gaE-wuRvkWnY4Wi4AhqA.png"">";Rysunek techniczny i wizualizacja
cartographer;kartograf;;[sound:quizlet-16914769592-front.mp3];[sound:quizlet-16914769592-back.mp3];"<img src=""quizlet-8IjoPJlEfiqnMJ2vaf7ydg.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
casement;okiennica;;[sound:quizlet-16914769594-front.mp3];[sound:quizlet-16914769594-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074962_200115_1142_41.jpg'>;Wykończenia i detale
casement window;okno dwuskrzydłowe otwierane na zewnątrz;;[sound:quizlet-16914769595-front.mp3];[sound:quizlet-16914769595-back.mp3];"<img src=""quizlet-GLbbamgIadytClQrvjYbrg.jpg"">";Wykończenia i detale
casement window opening inwards;okno dwuskrzydłowe otwierane do wewnątrz;;[sound:quizlet-16914769596-front.mp3];[sound:quizlet-16914769596-back.mp3];"<img src=""quizlet-VnGDso8f7jIZ1e0lSwv1eQ.jpg"">";Wykończenia i detale
casing;obudowa;Synonimy: housing, cover;[sound:quizlet-16914779099-front.mp3];[sound:quizlet-16914779099-back.mp3];"<img src=""quizlet-Gncf-lt5kwrlInS1re.wVg.jpg"">";Elementy konstrukcyjne
cast iron;żeliwo;;[sound:quizlet-16914779100-front.mp3];[sound:quizlet-16914779100-back.mp3];"<img src=""quizlet-UgvA.H8lgNRL7todwK7eFg.jpg"">";Materiały budowlane
casting;odlew;Synonimy: cast, moulding;[sound:quizlet-16914779101-front.mp3];[sound:quizlet-16914779101-back.mp3];"<img src=""quizlet-34iP.RKQ3PuI668cNJT4ew.jpg"">";Proces budowlany
castle;zamek (budowla);;[sound:quizlet-16914779102-front.mp3];[sound:quizlet-16914779102-back.mp3];"<img src=""quizlet-52158537_7a24d5bab6.jpg"">";Budynki
catalyst;katalizator;Synonimy: catalyser;[sound:quizlet-16914779103-front.mp3];[sound:quizlet-16914779103-back.mp3];"<img src=""quizlet-xkkcgID52D7VpdYETzcL3A.jpg"">";Materiały budowlane
cathedral;katedra;;[sound:quizlet-16914779104-front.mp3];[sound:quizlet-16914779104-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074967_200115_1355_50.jpg'>;Budynki
cation;kation;;[sound:quizlet-16914779105-front.mp3];[sound:quizlet-16914779105-back.mp3];"<img src=""quizlet-wpo5PUN60X5BC6ytHb7mPA.jpg"">";Materiały budowlane
catwalk;pomost roboczy (kładka);;[sound:quizlet-16914779106-front.mp3];[sound:quizlet-16914779106-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074968_200115_1343_25.jpg'>;Elementy konstrukcyjne
caulk;uszczelniać;Synonimy: seal up;[sound:quizlet-16914779107-front.mp3];[sound:quizlet-16914779107-back.mp3];"<img src=""quizlet-7MSqWEDzD7g9vSDCZJqn5Q.jpg"">";Proces budowlany
cause and effect analysis;analiza przyczyn i skutków;Synonimy: analysis of causes and effects;[sound:quizlet-16914779108-front.mp3];[sound:quizlet-16914779108-back.mp3];"<img src=""quizlet-cd1VWTC8tyVBv-9r4rzmCg.png"">";Proces budowlany
cavity;wgłębienie;Synonimy: recess;[sound:quizlet-16914779109-front.mp3];[sound:quizlet-16914779109-back.mp3];"<img src=""cavity.jpg"">";Elementy konstrukcyjne
ceiling;sufit;;[sound:quizlet-16914779110-front.mp3];[sound:quizlet-16914779110-back.mp3];"<img src=""quizlet-VwN0K0TxplfZT4xvfGwo4Q.png"">";Wykończenia i detale
ceiling fan;wentylator sufitowy;;[sound:quizlet-16914779111-front.mp3];[sound:quizlet-16914779111-back.mp3];"<img src=""quizlet-1586819_8f92cee864.jpg"">";Wyposażenie i wnętrza
ceiling joist;belka stropowa;;[sound:quizlet-16914779112-front.mp3];[sound:quizlet-16914779112-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074971_200115_1302_39.jpg'>;Elementy konstrukcyjne
central nave;nawa główna;;[sound:quizlet-16914779113-front.mp3];[sound:quizlet-16914779113-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074972_191229_1726_29.jpg'>;Budynki
central stile;środkowy ramiak pionowy;;[sound:quizlet-16914779114-front.mp3];[sound:quizlet-16914779114-back.mp3];"<img src=""central stile.jpg"">";Wykończenia i detale
centre of gravity;środek ciężkości;;[sound:quizlet-16914779115-front.mp3];[sound:quizlet-16914779115-back.mp3];"<img src=""quizlet-.EBaXktUbs0BbdPSdxP.iw.png"">";Elementy konstrukcyjne
centrifugal force;siła odśrodkowa;;[sound:quizlet-16914779116-front.mp3];[sound:quizlet-16914779116-back.mp3];"<img src=""quizlet-vF2lvuk3w-9gAU5pK.TYkg.jpg"">";Elementy konstrukcyjne
ceramic;ceramiczny;;[sound:quizlet-16914779117-front.mp3];[sound:quizlet-16914779117-back.mp3];"<img src=""quizlet-NC8lunrqT5NqwZ1FyvDQOQ.jpg"">";Materiały budowlane
cesspit;szambo;Synonimy: cesspool;[sound:quizlet-16914779118-front.mp3];[sound:quizlet-16914779118-back.mp3];"<img src=""quizlet-5WySvrLTQFbXdX.2qRvuUw.jpg"">";Instalacje techniczne
chain saw;piła łańcuchowa;;[sound:quizlet-16914779119-front.mp3];[sound:quizlet-16914779119-back.mp3];"<img src=""quizlet-0Si026cjrY.6DRi-FcHnSg.jpg"">";Narzędzia i sprzęt
chalk;kreda;Synonimy: cretaceous;[sound:quizlet-16914779120-front.mp3];[sound:quizlet-16914779120-back.mp3];"<img src=""quizlet-jEkVR2lQ5csKcnpU1ZnjiA.jpg"">";Materiały budowlane
chamfer;ścięcie;;[sound:quizlet-16914779121-front.mp3];[sound:quizlet-16914779121-back.mp3];"<img src=""quizlet-Qnk6Cz8YJLOSCW8aQ6dm7w.jpg"">";Wykończenia i detale
Chantilly parquet;parkiet Chantilly'ego;;[sound:quizlet-16914808364-front.mp3];[sound:quizlet-16914808364-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075632_200115_1200_04.jpg'>;Wykończenia i detale
chapel;kaplica;;[sound:quizlet-16914779122-front.mp3];[sound:quizlet-16914779122-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074974_200114_1642_02.jpg'>;Budynki
checking;kontrola;Synonimy: control, inspection, verification;[sound:quizlet-16914779123-front.mp3];[sound:quizlet-16914779123-back.mp3];"<img src=""quizlet-UOq0KNq46PPRHYXsdPIakA.jpg"">";Proces budowlany
chemise;obwarowanie stołbu;;[sound:quizlet-16914779124-front.mp3];[sound:quizlet-16914779124-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074975_200114_1644_45.jpg'>;Budynki
chevet;kaplice boczne;;[sound:quizlet-16914779125-front.mp3];[sound:quizlet-16914779125-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074976_200114_1616_55.jpg'>;Budynki
chimney;komin;;[sound:quizlet-16914779126-front.mp3];[sound:quizlet-16914779126-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214375700_200115_1307_07.jpg'>;Elementy konstrukcyjne
chimney pot;nakładka kominowa;;[sound:quizlet-16914779127-front.mp3];[sound:quizlet-16914779127-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074977_200115_1306_43.jpg'>;Elementy konstrukcyjne
chippings;grys;Synonimy: grits;[sound:quizlet-16914779128-front.mp3];[sound:quizlet-16914779128-back.mp3];"<img src=""quizlet-mU8YU-K2zvuSBw278A4s3A.jpg"">";Materiały budowlane
choir;prezbiterium;Synonimy: presbytery;[sound:quizlet-16914779129-front.mp3];[sound:quizlet-16914779129-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074978_200114_1552_47.jpg'>;Budynki
church;kościół;;[sound:quizlet-16914779130-front.mp3];[sound:quizlet-16914779130-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074979_200115_1351_46.jpg'>;Budynki
circuit;obwód;Synonimy: girth;[sound:quizlet-16914779131-front.mp3];[sound:quizlet-16914779131-back.mp3];"<img src=""quizlet-iGnnVmCzV4vzckb4PeQ55w.jpg"">";Instalacje techniczne
circulation;krążenie;;[sound:quizlet-16914779132-front.mp3];[sound:quizlet-16914779132-back.mp3];"<img src=""quizlet-j-Yf5SzCV61vaipFgtcrsg.jpg"">";Instalacje techniczne
cistern;cysterna;Synonimy: vat, bullet tank;[sound:quizlet-16914779133-front.mp3];[sound:quizlet-16914779133-back.mp3];"<img src=""quizlet-uhptU9BQgtJMlevhzCr7PA.jpg"">";Instalacje techniczne
city centre;centrum miasta;Synonimy: downtown, city center;[sound:quizlet-16914779134-front.mp3];[sound:quizlet-16914779134-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074980_200115_1356_57.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
civil engineer;inżynier budownictwa;;[sound:quizlet-16914779135-front.mp3];[sound:quizlet-16914779135-back.mp3];"<img src=""quizlet-gzM-tCEeFuZjlD0rVBbxIA.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
civil engineering;inżynieria lądowa;;[sound:quizlet-16914779136-front.mp3];[sound:quizlet-16914779136-back.mp3];"<img src=""quizlet-8egAsDywToJMLaibHe6dSA.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
claim;roszczenie;;[sound:quizlet-16914779137-front.mp3];[sound:quizlet-16914779137-back.mp3];"<img src=""quizlet-j67zd8R.3gw2GWT.CPmcOQ.png"">";Zarządzanie projektem, bezpieczeństwo i przepisy
clamshell;muszla;Synonimy: shell;[sound:quizlet-16914779138-front.mp3];[sound:quizlet-16914779138-back.mp3];"<img src=""quizlet-odReLyhYEgdG7gKae32N4Q.jpg"">";Elementy konstrukcyjne
cleat;klin;Synonimy: wedge, gusset, chock;[sound:quizlet-16914779139-front.mp3];[sound:quizlet-16914779139-back.mp3];"<img src=""quizlet-YB.DbcqcT2LCv5SuBwsvcw.jpg"">";Elementy konstrukcyjne
cleaving;rozszczepianie;;[sound:quizlet-16914779140-front.mp3];[sound:quizlet-16914779140-back.mp3];"<img src=""quizlet-O9QBaVEYUiC59LjQIOWgWA.jpg"">";Proces budowlany
clip;spinacz;Synonimy: clamp;[sound:quizlet-16914779141-front.mp3];[sound:quizlet-16914779141-back.mp3];"<img src=""quizlet--s58hQk9QlUy8834yxvmSA.jpg"">";Narzędzia i sprzęt
coal;węgiel;;[sound:quizlet-16914779142-front.mp3];[sound:quizlet-16914779142-back.mp3];"<img src=""quizlet-cI_beFO1-zpZhVHua0x_hg.jpg"">";Materiały budowlane
coefficient;współczynnik;Synonimy: factor, ratio;[sound:quizlet-16914779143-front.mp3];[sound:quizlet-16914779143-back.mp3];"<img src=""quizlet-2kSC1lAN2.ZONwPaA5HVpw.jpg"">";Pomiar i jednostki
coefficient of performance;współczynnik wydajności;Synonimy: performance coefficient;[sound:quizlet-16914779144-front.mp3];[sound:quizlet-16914779144-back.mp3];"<img src=""quizlet-pS.uWVEzMVFkRwN6YKerzA.jpg"">";Pomiar i jednostki
cohesion;spójność;;[sound:quizlet-16914779145-front.mp3];[sound:quizlet-16914779145-back.mp3];"<img src=""quizlet-ScFw9sxZri5y7Rq7pQk22w.jpg"">";Materiały budowlane
coil;cewka;;[sound:quizlet-16914779146-front.mp3];[sound:quizlet-16914779146-back.mp3];"<img src=""quizlet-ASV8RmpFdtp6wc0VY62FXg.jpg"">";Instalacje techniczne
collapse;zawalić się;;[sound:quizlet-16914779147-front.mp3];[sound:quizlet-16914779147-back.mp3];"<img src=""quizlet-o6CtPZnZ2ZG5-VrJtcvTgg.jpg"">";Proces budowlany
colloid;koloid;;[sound:quizlet-16914779148-front.mp3];[sound:quizlet-16914779148-back.mp3];"<img src=""quizlet-nG1tYSUO-bejFthjycYhOA.jpg"">";Materiały budowlane
column;kolumna;;[sound:quizlet-16914779149-front.mp3];[sound:quizlet-16914779149-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074981_191229_1711_16.jpg'>;Elementy konstrukcyjne
commercial area;pasaż handlowy;;[sound:quizlet-16914779150-front.mp3];[sound:quizlet-16914779150-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074982_200115_1336_16.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
commercial premises;dom handlowy;Synonimy: trade building;[sound:quizlet-16914779151-front.mp3];[sound:quizlet-16914779151-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074983_200115_1347_54.jpg'>;Budynki
compaction;zagęszczanie;;[sound:quizlet-16914779152-front.mp3];[sound:quizlet-16914779152-back.mp3];"<img src=""quizlet-U-iKAW3qbLL78Z96p279qA.jpg"">";Proces budowlany
comparator;komparator;;[sound:quizlet-16914779153-front.mp3];[sound:quizlet-16914779153-back.mp3];"<img src=""comparator.jpg"">";Narzędzia i sprzęt
compartment;przedział;Synonimy: interval, section;[sound:quizlet-16914779154-front.mp3];[sound:quizlet-16914779154-back.mp3];"<img src=""quizlet-Z5KDEE3shkTwqbYsysqa4g.jpg"">";Elementy konstrukcyjne
compass;kompas;;[sound:quizlet-16914779155-front.mp3];[sound:quizlet-16914779155-back.mp3];"<img src=""quizlet-wp6efmlH_8nB-1PMQ1MkJA.jpg"">";Narzędzia i sprzęt
compatibility;zgodność;;[sound:quizlet-16914779156-front.mp3];[sound:quizlet-16914779156-back.mp3];"<img src=""quizlet-20eU5w-oqx9kASDgLqWGQQ.jpg"">";Proces budowlany
compensation;odszkodowanie;Synonimy: damages;[sound:quizlet-16914779157-front.mp3];[sound:quizlet-16914779157-back.mp3];"<img src=""quizlet-g-zz4dlLRHnzk-8igdVWjg.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
completion;ukończenie;;[sound:quizlet-16914779158-front.mp3];[sound:quizlet-16914779158-back.mp3];"<img src=""quizlet-ZGfrf2eJ_KQ0c5JMEDUR0g.jpg"">";Proces budowlany
compluvium;compluwium;;[sound:quizlet-16914779159-front.mp3];[sound:quizlet-16914779159-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074985_191229_1715_54.jpg'>;Elementy konstrukcyjne
component;składnik;Synonimy: ingredient;[sound:quizlet-16914779160-front.mp3];[sound:quizlet-16914779160-back.mp3];"<img src=""quizlet-2.Z5b-kRDEGS4R97BdYtXg.jpg"">";Materiały budowlane
compression;kompresja;;[sound:quizlet-16914779161-front.mp3];[sound:quizlet-16914779161-back.mp3];"<img src=""quizlet-xNoBITbnJCVHWLzI3i1-vQ.png"">";Elementy konstrukcyjne
compression index;wskaźnik kompresji;;[sound:quizlet-16914779162-front.mp3];[sound:quizlet-16914779162-back.mp3];"<img src=""quizlet-TE2ovH4TACqw3LIdW7dnWg.png"">";Elementy konstrukcyjne
compressive strength;wytrzymałość na ściskanie;;[sound:quizlet-16914779163-front.mp3];[sound:quizlet-16914779163-back.mp3];"<img src=""quizlet-Ha1vYQzxjsk8k8phJqhS6w.jpg"">";Elementy konstrukcyjne
compressor;kompresor;;[sound:quizlet-16914779164-front.mp3];[sound:quizlet-16914779164-back.mp3];"<img src=""quizlet-eFCGUEcGdYzR05bw4SXpTw.jpg"">";Instalacje techniczne
concrete;beton;;[sound:quizlet-16914779165-front.mp3];[sound:quizlet-16914779165-back.mp3];"<img src=""quizlet-YgidGRuvMBggNvr9.ZDLvg.jpg"">";Materiały budowlane
condensation;kondensacja;;[sound:quizlet-16914779166-front.mp3];[sound:quizlet-16914779166-back.mp3];"<img src=""quizlet--RFvhgqHhyoPxj3Kih0eKg.jpg"">";Instalacje techniczne
conduction;przewodzenie;;[sound:quizlet-16914779167-front.mp3];[sound:quizlet-16914779167-back.mp3];"<img src=""quizlet-jdrHWuelzBtd0IUbrf9qhw.png"">";Instalacje techniczne
conductivity;przewodność;;[sound:quizlet-16914779168-front.mp3];[sound:quizlet-16914779168-back.mp3];"<img src=""quizlet-H8T6cyGONhunP9O7FdCGTA.jpg"">";Instalacje techniczne
conference centre;centrum kongresowe;Synonimy: convention center;[sound:quizlet-16914779169-front.mp3];[sound:quizlet-16914779169-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074987_200115_1354_35.jpg'>;Budynki
conical broach roof;dach stożkowy;;[sound:quizlet-16914779170-front.mp3];[sound:quizlet-16914779170-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074988_200115_1358_22.jpg'>;Elementy konstrukcyjne
connector;złącze;;[sound:quizlet-16914779171-front.mp3];[sound:quizlet-16914779171-back.mp3];"<img src=""quizlet-GoYNDazbaF1DFDyJ3oZFFw.jpg"">";Elementy konstrukcyjne
consistency;konsystencja;;[sound:quizlet-16914779172-front.mp3];[sound:quizlet-16914779172-back.mp3];"<img src=""quizlet-R2P5kpZmU3KIsosICiD14g.jpg"">";Materiały budowlane
consolidation;konsolidacja;;[sound:quizlet-16914779173-front.mp3];[sound:quizlet-16914779173-back.mp3];"<img src=""quizlet-gdYPjAkzAt1xOGkqa1lEIQ.jpg"">";Proces budowlany
construction load;obciążenie konstrukcyjne;;[sound:quizlet-16914779174-front.mp3];[sound:quizlet-16914779174-back.mp3];"<img src=""quizlet-HSNxoxccMPVD.eaXUQlRjQ.jpg"">";Elementy konstrukcyjne
construction management;kierownictwo budowy;;[sound:quizlet-16914779175-front.mp3];[sound:quizlet-16914779175-back.mp3];"<img src=""quizlet-_bImMRsbrafKfYH1BaAGnA.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
construction manager;kierownik budowy;;[sound:quizlet-16914779176-front.mp3];[sound:quizlet-16914779176-back.mp3];"<img src=""quizlet-_bImMRsbrafKfYH1BaAGnA.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
contaminated land;skażona ziemia;;[sound:quizlet-16914779177-front.mp3];[sound:quizlet-16914779177-back.mp3];"<img src=""quizlet-TmtN3.wsUXtbzML43ZiJ-w.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
control room;reżyserka;;[sound:quizlet-16914779178-front.mp3];[sound:quizlet-16914779178-back.mp3];"<img src=""quizlet-9Jij4dMmlwCcg.zn4NoNzw.png"">";Wyposażenie i wnętrza
control valve;zawór kontrolny;;[sound:quizlet-16914779179-front.mp3];[sound:quizlet-16914779179-back.mp3];"<img src=""quizlet-3MjBREWtlvPRnPPvVJvnpQ.jpg"">";Instalacje techniczne
controls;sterownica;;[sound:quizlet-16914779180-front.mp3];[sound:quizlet-16914779180-back.mp3];"<img src=""quizlet-WcEELPKC7DigXAeQhUPgEw.jpg"">";Wyposażenie i wnętrza
convection;konwekcja;;[sound:quizlet-16914779181-front.mp3];[sound:quizlet-16914779181-back.mp3];"<img src=""quizlet-rWlvgJV7t62hbUfD0k_aPQ.jpg"">";Instalacje techniczne
convector;konwektor;;[sound:quizlet-16914779182-front.mp3];[sound:quizlet-16914779182-back.mp3];"<img src=""quizlet-Hshg6QINSM2k.dwk-GOmRQ.png"">";Instalacje techniczne
conventional door;drzwi standardowe;;[sound:quizlet-16914779183-front.mp3];[sound:quizlet-16914779183-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074993_200115_1149_06.jpg'>;Wykończenia i detale
conversion;konwersja;;[sound:quizlet-16914779184-front.mp3];[sound:quizlet-16914779184-back.mp3];"<img src=""quizlet--lzadO3q3-Eqz7hf..Ccyg.jpg"">";Proces budowlany
conveyor;transporter;Synonimy: transporter, conveyer;[sound:quizlet-16914779185-front.mp3];[sound:quizlet-16914779185-back.mp3];"<img src=""quizlet-LJcKsE3P5Q8.9teS6nGJ.A.jpg"">";Narzędzia i sprzęt
coordinates;współrzędne;;[sound:quizlet-16914779186-front.mp3];[sound:quizlet-16914779186-back.mp3];"<img src=""quizlet-WSCHaNJtqucPu0t2HGcQUQ.jpg"">";Rysunek techniczny i wizualizacja
coordination;koordynacja;;[sound:quizlet-16914779187-front.mp3];[sound:quizlet-16914779187-back.mp3];"<img src=""quizlet-2137737248_e9f3e429d1.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
copper;miedź;;[sound:quizlet-16914779188-front.mp3];[sound:quizlet-16914779188-back.mp3];"<img src=""quizlet-NTnxwH7McT847-u8sNDD4A.jpg"">";Materiały budowlane
core;rdzeń;;[sound:quizlet-16914779189-front.mp3];[sound:quizlet-16914779189-back.mp3];"<img src=""quizlet--o4Hl0ILKSEFVIbn7GBXkA.png"">";Elementy konstrukcyjne
Corinthian order;porządek koryncki;;[sound:quizlet-16914779190-front.mp3];[sound:quizlet-16914779190-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074994_191228_1602_01.jpg'>;Style, ornamenty, sztuka i historia
corner stud;słup narożny;;[sound:quizlet-16914779191-front.mp3];[sound:quizlet-16914779191-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074995_200115_1253_31.jpg'>;Elementy konstrukcyjne
corner tower;wieża narożna;;[sound:quizlet-16914779192-front.mp3];[sound:quizlet-16914779192-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074996_200114_1631_57.jpg'>;Budynki
cornice;gzyms;;[sound:quizlet-16914779193-front.mp3];[sound:quizlet-16914779193-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214375753_191228_1554_08.jpg'>;Elementy konstrukcyjne
corrosion;korozja;;[sound:quizlet-16914779195-front.mp3];[sound:quizlet-16914779195-back.mp3];"<img src=""quizlet-dY11UU6wEuWk4o6q3JikZA.jpg"">";Materiały budowlane
cottage;chata;;[sound:quizlet-16914779196-front.mp3];[sound:quizlet-16914779196-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074998_191228_1541_34.jpg'>;Budynki
counterguard;przeciwstraż;;[sound:quizlet-16914779197-front.mp3];[sound:quizlet-16914779197-back.mp3];"<img src=""contregarde.jpg"">";Budynki
counterscarp;przeciwskarpa;;[sound:quizlet-16914786255-front.mp3];[sound:quizlet-16914786255-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075000_200114_1618_45.jpg'>;Budynki
course;kierunek;Synonimy: direction, trend, way;[sound:quizlet-16914786256-front.mp3];[sound:quizlet-16914786256-back.mp3];"<img src=""quizlet-eFSvGCNmaDczVNCdByt-GQ.jpg"">";Proces budowlany
courtyard;dziedziniec;;[sound:quizlet-16914786257-front.mp3];[sound:quizlet-16914786257-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075001_191229_1728_13.jpg'>;Budynki
cove;zatoczka;;[sound:quizlet-16914786258-front.mp3];[sound:quizlet-16914786258-back.mp3];"<img src=""quizlet-PEVmETCRsKNrk6w98SvxAA.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
cover;pokrywa;Synonimy: lid;[sound:quizlet-16914786259-front.mp3];[sound:quizlet-16914786259-back.mp3];"<img src=""quizlet-fZ6Lbu_iQtxu2x4zS0y6MA.jpg"">";Elementy konstrukcyjne
covered parapet walk;kryty ganek;Synonimy: covered porch;[sound:quizlet-16914786260-front.mp3];[sound:quizlet-16914786260-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075002_200114_1632_45.jpg'>;Budynki
covering;pokrycie;Synonimy: coverage;[sound:quizlet-16914786261-front.mp3];[sound:quizlet-16914786261-back.mp3];"<img src=""quizlet-lrAVrXo8JraLYIzDdkZx0A.jpg"">";Wykończenia i detale
craft;rzemiosło;;[sound:quizlet-16914786262-front.mp3];[sound:quizlet-16914786262-back.mp3];"<img src=""quizlet-jc1Xs4w-NT02YI778dpLxQ.jpg"">";Proces budowlany
crenel;wrąb blanki;;[sound:quizlet-16914786263-front.mp3];[sound:quizlet-16914786263-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075003_200114_1645_32.jpg'>;Budynki
crepidoma;krepidoma;;[sound:quizlet-16914786264-front.mp3];[sound:quizlet-16914786264-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075004_191228_1552_34.jpg'>;Elementy konstrukcyjne
crossing;skrzyżowanie nawy i transeptu;;[sound:quizlet-16914786265-front.mp3];[sound:quizlet-16914786265-back.mp3];"<img src=""quizlet-ByWH8I65PN6jyhjPqRovsg.jpg"">";Budynki
crystal structure;struktura krystaliczna;;[sound:quizlet-16914786266-front.mp3];[sound:quizlet-16914786266-back.mp3];"<img src=""quizlet-oQxtoWHJHk-n25tLv9DCEA.jpg"">";Materiały budowlane
crystalline;krystaliczny;;[sound:quizlet-16914786267-front.mp3];[sound:quizlet-16914786267-back.mp3];"<img src=""quizlet-aEuYdhGT7OJ0L2DV7AZnqw.jpg"">";Materiały budowlane
crystallisation;krystalizacja;;[sound:quizlet-16914786268-front.mp3];[sound:quizlet-16914786268-back.mp3];"<img src=""quizlet-arVMZfLolCsptuexeSsQEw.jpg"">";Materiały budowlane
cubic;sześcienny;;[sound:quizlet-16914786269-front.mp3];[sound:quizlet-16914786269-back.mp3];"<img src=""quizlet-Drwrr_aZnGrBfEFHGOnoHw.jpg"">";Pomiar i jednostki
cubicle;kabina;Synonimy: cabin;[sound:quizlet-16914786270-front.mp3];[sound:quizlet-16914786270-back.mp3];"<img src=""quizlet-Vocpv4uB7PK7sHaVi376Zg.jpg"">";Wyposażenie i wnętrza
culvert;przepust;;[sound:quizlet-16914786271-front.mp3];[sound:quizlet-16914786271-back.mp3];"<img src=""quizlet-iEwcFXVbZrXF5Zg04PXraw.jpg"">";Elementy konstrukcyjne
curtailment;ograniczenie;Synonimy: limit, reduction, restriction;[sound:quizlet-16914786272-front.mp3];[sound:quizlet-16914786272-back.mp3];"<img src=""quizlet-ldr5xrAOWPb2mj4JZlrBMA.jpg"">";Proces budowlany
curtain;kurtyna;;[sound:quizlet-16914786273-front.mp3];[sound:quizlet-16914786273-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075006_200114_1620_36.jpg'>;Wyposażenie i wnętrza
curtain wall;mur kurtynowy;;[sound:quizlet-16914786274-front.mp3];[sound:quizlet-16914786274-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075007_200114_1633_28.jpg'>;Elementy konstrukcyjne
curvature;krzywizna;Synonimy: curve;[sound:quizlet-16914786275-front.mp3];[sound:quizlet-16914786275-back.mp3];"<img src=""quizlet-LXITNcS5tAl7UIdulj..uA.jpg"">";Elementy konstrukcyjne
dado;boazeria;Synonimy: paneling, wainscot, panelling;[sound:quizlet-16914786276-front.mp3];[sound:quizlet-16914786276-back.mp3];"<img src=""quizlet-jhT8sDyqyyorD1G1iFACRA.jpg"">";Wykończenia i detale
damage;uszkodzić;Synonimy: impair, injure;[sound:quizlet-16914786277-front.mp3];[sound:quizlet-16914786277-back.mp3];"<img src=""quizlet-WB3wtXu6SBlhqewuFtVPlg.jpg"">";Proces budowlany
damp;wilgoć;Synonimy: humidity, moisture, wet;[sound:quizlet-16914786278-front.mp3];[sound:quizlet-16914786278-back.mp3];"<img src=""quizlet-3o2TZvYhyK_tSsh308QDaw.jpg"">";Materiały budowlane
damping;tłumienie;;[sound:quizlet-16914786279-front.mp3];[sound:quizlet-16914786279-back.mp3];"<img src=""quizlet-1tGSNDIx1lRqY3RnA.dtMg.jpg"">";Elementy konstrukcyjne
daylight;światło dzienne;;[sound:quizlet-16914786280-front.mp3];[sound:quizlet-16914786280-back.mp3];"<img src=""quizlet-G9Qd4rqRAh1FxmocXh8x6w.jpg"">";Wyposażenie i wnętrza
