absorption tube;a tube filled with a solid absorbent and used to absorb gases and vapors
phospholipid;any of various compounds composed of fatty acids and phosphoric acid and a nitrogenous base
glycolipid;any of a class of lipids, comprising the cerebrosides and gangliosides, that upon hydrolysis yield galactose or a similar sugar, a fatty acid, and sphingosine or dihydrosphingosine
benzidine;a grayish, crystalline, slightly water-soluble, basic compound, C12H12N2, usually derived from nitrobenzene
methylamine;any of three derivatives of ammonia in which one or all of the hydrogen atoms are replaced by methyl groups, especially a gas, CH5N, with an ammonia like odor, the simplest alkyl derivative of ammonia and, like the latter, forming a series of salts
amine;a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals
aniline;a colorless, oily, slightly water-soluble liquid, C6H5NH2, usually derived from nitrobenzene by reduction
amphetamine;a racemic drug, C9H13N, that stimulates the central nervous system
diethylamine;an organic compound with the formula (CH3CH2)2NH
primary amine;a compound where one of three hydrogen atoms in ammonia is replaced by an alkyl or aromatic
secondary amine ;a compound with two organic substituents (alkyl, aryl or both) bound to the nitrogen together with one hydrogen
tertiary amine;a compound where nitrogen has three organic substituents
amide;any organic compound containing the group -CONH2
formamide;an amide derived from formic acid, a clear liquid which is miscible with water and has an ammonia-like odor
acetamide;an organic compound with the formula CH3CONH2
carbamide;an organic compound with chemical formula CO(NH2)2
biuret;a white crystalline substance, C2H5O2N3*H2O, soluble in water and alcohol, used for the identification of urea, from which it is formed on heating
hydroxy acid;any acid that has hydroxyl groups in addition to the hydroxyl group in the acid itself
lactic acid;a clear odorless hygroscopic syrupy carboxylic acid found in sour milk and in many fruits
salicylic acid;a white crystalline substance with a bitter aftertaste
sodium lactate;a water-soluble, hygroscopic salt, C3H5NaO3, used in solution in medicine to treat metabolic acidosis, usually by injection
acetylsalicylic acid (aspirin);a white, crystalline substance, C9H8O4, derivative of salicylic acid, used as an anti-inflammatory agent and to relieve the pain of headache, rheumatism, gout, neuralgia, etc
malic acid;an organic compound with the formula HO2CCH2CHOHCO2H
tartaric acid;"an acid found in many fruits; used in soft drinks and confectionery and baking powder"
glucose;a monosaccharide sugar that has several forms
maltose;a white crystalline sugar formed during the digestion of starches
peptidase;any enzyme that catalyzes the splitting of proteins into smaller peptide fractions and amino acids by a process known as proteolysis
protein;a large biomolecules, or macromolecules, consisting of one or more long chains of amino acid residues
protein structure;the three-dimensional arrangement of atoms in an amino acid-chain molecule
primary structure;the sequence of amino acids in the polypeptide chain
secondary structure;a highly regular local sub-structures on the actual polypeptide backbone chain
tertiary structure;the three-dimensional structure of monomeric and multimeric protein molecules
quaternary structure;the three-dimensional structure consisting of the aggregation of two or more individual polypeptide chains (subunits) that operate as a single functional unit
protein denaturation;a process in which proteins or nucleic acids lose the quaternary structure, tertiary structure and secondary structure which is present in their native state, by application of some external stress or compound such as a strong acid or base, a concentrated inorganic salt, an organic solvent, radiation or heat
salting out;a technique for the separation of proteins by differential precipitation in a solution of sodium chloride or ammonium sulphate
biuret test;a chemical test used for detecting the presence of peptide bonds
xanthoproteic reaction;a method that can be used to determine the amount of protein soluble in a solution, using concentrated nitric acid
monosaccharides;also called simple sugars, are the most basic units of carbohydrates
oligosaccharide;any of the carbohydrates that yield only a few monosaccharide molecules on complete hydrolysis
polysaccharide;any of a class of carbohydrates whose molecules contain chains of monosaccharide molecules
saccharide;an organic compound containing a sugar or sugars
fructose;a simple sugar found in honey and in many ripe fruits
saccharose;a complex carbohydrate found in many plants and used as a sweetening agent
lactose;"a sugar comprising one glucose molecule linked to a galactose molecule; occurs only in milk"
cellobiose;a disaccharide, found only as a repeat unit in cellulose
starch;a polymeric carbohydrate consisting of a large number of glucose units joined by glycosidic bonds
cellulose;a polysaccharide that is the chief constituent of all plant tissues and fibers
simple sugar;the most basic units of carbohydrates
amylose;a spiral polymer made up of D-glucose units
amylopectin;a soluble polysaccharide and a highly branched polymer of glucose found in plants
galactose;a white, crystalline, water-soluble hexose sugar, C6H12O6, obtained in its dextrorotatory form from milk sugar by hydrolysis and in its levorotatory form from mucilages
alicyclic hydrocarbons;a compounds with cyclic structure and aliphatic properties
aliphatic hydrocarbons;a compounds with no carbon atoms are joined to form a ring
alkalinity;the quality that constitutes an alkali
alkalic;containing a relatively high percentage of sodium and potassium alkali
alkali metal;any of the group of univalent metals including potassium, sodium, lithium, rubidium, cesium, and francium, whose hydroxides are alkalis
hydrocarbon;any of a class of compounds containing only hydrogen and carbon, as an alkane, methane, CH4, an alkene, ethylene, C2H4, an alkyne, acetylene, C2H2, or an aromatic compound, benzene, C6H6
amalgam;an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth
bronze;an alloy consisting primarily of copper, commonly with about 12% tin and often with the addition of other metals and sometimes non-metals or metalloids 
ferrous alloy;a various alloys of iron with a high proportion of one or more other elements such as manganese, aluminum, or silicon
steel;an alloy of iron and carbon and other elements
magnalium;an aluminum alloy with magnesium and small amounts of copper, nickel, and tin
duralumin;an alloy of over 90% aluminum, 4% copper and traces of manganese, magnesium, iron and silicon
cupronickel;a 60/40 alloy of copper and nickel
brass;a metallic alloy that is made of copper and zinc
nichrome;an alloy of nickel and chromium with high electrical resistance and an ability to withstand high temperatures
cast iron;a group of iron-carbon alloys with a carbon content greater than 2%
alloy;a mixture of metals or a mixture of a metal and another element
amino acid;any of a class of organic compounds that contains at least one amino group, –NH2, and one carboxyl group, –COOH
glycine;the simplest amino acid found in proteins and the principal amino acid in sugar cane
alanine;a crystalline amino acid that occurs in many proteins
cysteine;an amino acid containing sulfur that is found in most proteins
serine;a sweetish crystalline amino acid involved in the synthesis by the body of cysteine
thiol;an organosulfur compound that contains a carbon-bonded sulfhydryl group
phenylalanine;an essential amino acid found in proteins and needed for growth of children and for protein metabolism in children and adults
peptide bond;an amide bond formed between the amino and carboxyl functional groups of separate amino acids
dipeptide;a compound consisting of two linked amino acids.
ammonium;the ion NH4 derived from ammonia
ammonia;the compound NH3
boron hydride;the chemical compound consisting of boron and hydrogen with the formula B2H6
radical;an atom or group of atoms with at least one unpaired electron
fluoride;a salt of hydrofluoric acid
hydride;any binary compound formed by the union of hydrogen and other elements
chloride;any compound containing a chlorine atom
bromide;any of the salts of hydrobromic acid
iodide;a salt or ester of hydriodic acid
bismuthane;the chemical compound with the formula BiH3
sodium fluoride;a colorless, crystalline, water-soluble, poisonous solid, NaF, used chiefly in the fluoridation of water, as an insecticide, and as a rodenticide
ammonium chloride;a white, crystalline, water-soluble powder, NH4Cl, which produces a cooling sensation on the tongue, used chiefly in the manufacture of dry cells, in electroplating, and in medicine as an expectorant
lead bromide;the inorganic compound with the formula PbBr2
mercury (II) iodide;a chemical compound with the molecular formula HgI2
mercury (I)  iodide;a chemical compound of mercury and iodine, Hg2I2
acid radical;the remainder of an acid molecule after acidic hydrogen has been removed
calcium hydroxide;an inorganic compound with the chemical formula Ca(OH)2
sodium hydroxide;a white, deliquescent, water-soluble solid, NaOH, usually in the form of lumps, sticks, chips, or pellets, that upon solution in water generates heat
strong base;a basic chemical compound that can remove a proton (H+) from (or deprotonate) a molecule of even a very weak acid (such as water) in an acid-base reaction
weak electrolyte;an electrolyte that does not completely dissociate in aqueous solution
hydroxide;a compound of an oxide with water
zinc hydroxide;an inorganic chemical compound, Zn(OH)2
aluminum hydroxide;a white crystalline powder derived from bauxite and used in the manufacture of glass and ceramics, aluminum and its salts, and in dyeing, Al(OH)3
magnesium hydroxide;a white, crystalline, slightly water-soluble powder, Mg(OH)2, used chiefly in medicine as an antacid and as a laxative
lead (II) hydroxide;a hydroxide of lead, with lead in oxidation state +2, Pb(OH)2
potassium hydroxide;a white, deliquescent, water-soluble solid, KOH, usually in the form of lumps, sticks, or pellets, that upon solution in water generates heat
barium hydroxide, baryta;a chemical compounds with the chemical formula Ba(OH)2(H2O)x
atom;the smallest component of an element having the chemical properties of the element, consisting of a nucleus containing combinations of neutrons and protons and one or more electrons bound to the nucleus by electrical attraction
atomic bond;a lasting attraction between atoms, ions or molecules that enables the formation of chemical compounds
atomic mass;the mass of an atom
atomic mass unit;a standard unit of mass that quantifies mass on an atomic or molecular scale
atomic pile;a device used to initiate and control a sustained nuclear chain reaction
atomic radius;the distance from the atomic nucleus to the outermost stable electron orbital in a atom at equilibrium
atomic weight;a dimensionless (number only) physical quantity
attraction;the electric or magnetic force that acts between oppositely charged bodies, tending to draw them together
electron;an elementary particle with negative charge
electron configuration;the distribution of electrons of an atom or molecule (or other physical structure) in atomic or molecular orbitals
neutron;an elementary particle with 0 charge and mass about equal to a proton
proton;a stable particle with positive charge equal to the negative charge of an electron
nucleon;a constituent (proton or neutron) of an atomic nucleus
valence electrons;an outer shell electron that is associated with an atom, and that can participate in the formation of a chemical bond if the outer shell is not closed
bauxite;"an aluminum ore; the world's main source of aluminum"
diamond;a pure or nearly pure, extremely hard form of carbon, naturally crystallized in the isometric system
dolomite;"a light colored mineral consisting of calcium magnesium carbonate; a source of magnesium"
graphite;a very common mineral, soft native carbon, occurring in black to dark-gray foliated masses, with metallic luster and greasy feel
gypsum;a very common mineral, hydrated calcium sulfate, CaSO4*2H2O, occurring in crystals and in masses, soft enough to be scratched by the fingernail
mineral;naturally occurring chemical compound, usually of crystalline form and abiogenic in origin
zeolite;any of a family of glassy minerals analogous to feldspar containing hydrated aluminum silicates of calcium or sodium or potassium
pyrite, fool’s gold;a very common brass-yellow mineral, iron disulfide, FeS2, with a metallic luster, burned to sulfur dioxide in the manufacture of sulfuric acid
molybdenite;a mineral resembling graphite that is valued as the chief source of molybdenum and its compounds
corundum, diamond spar;a common, very hard mineral used as an abrasive
anhydrite;a mineral,anhydrous calcium sulfate
turquoise;an opaque mineral, a basic hydrous copper aluminum phosphate often containing a small amount of iron, sky-blue or greenish-blue in color, cut cabochon as a gem
lazulite, blue spar;a blue, phosphate mineral containing magnesium, iron, and aluminum phosphate. 
topaz;a mineral, a fluorosilicate of aluminum, usually occurring in prismatic orthorhombic crystals of various colors, and used as a gem
zircon;a common mineral, zirconium silicate, occurring in small tetragonal crystals or grains of various colors, usually opaque
quartz;one of the commonest minerals, silicon dioxide, SiO2, having many varieties that differ in color, luster, etc., and occurring either in masses or in crystals
emerald;a rare variety of beryl that is colored green by chromium and valued as a gem
ruby;a red variety of corundum, used as a gem
sapphire;any gem variety of corundum other than the ruby, especially one of the blue varieties
aquamarine;a transparent variety of beryl that is blue green in color
absolute zero;the lower limit of the thermodynamic temperature scale
heat ;the energy that is transferred from a warmer substance or body to a cooler one
heat exchanger;a device built for heat transfer from one medium to another
heat of combustion;the heat evolved when one mole of a substance is burnt in oxygen at constant volume
heat of condensation;the heat liberated by a unit mass of gas at its boiling point as it condenses into a liquid
heat of crystallization;the heat evolved or absorbed when one mole of given substance crystallizes from a saturated solution of the same substance
heat of dilution;the enthalpy change associated with the dilution process of a component in a solution at a constant pressure
heat of formation;the heat evolved or absorbed during the formation of one mole of a substance from its component elements
heat of fusion;the heat absorbed by a unit mass of a given solid at its melting point that completely converts the solid to a liquid at the same temperature
heat of hydration;the heat generated when water and portland cement react
heat of reaction;the heat evolved or absorbed when one mole of a product is formed at constant pressure
heat of sublimation;the heat absorbed by a unit mass of material when it changes from a solid to a gaseous state
heat of solution;the heat evolved or absorbed when one mole of a substance is dissolved in a large volume of a solvent
heat of vaporization;the heat absorbed per unit mass of a given material at its boiling point that completely converts the material to a gas at the same temperature
heat transfer;the process whereby heat moves from one body or substance to another by radiation, conduction, convection, or a combination of these methods
latent heat;the heat that is released or absorbed accompanying a change of state or of phase
specific heat;the measure of the heat energy required to raise the temperature of one gram of a substance by one degree Celsius
absorption;the process in which incident radiated energy is retained without reflection or transmission on passing through a medium
accelerator;a substance that increases the rate of a chemical reaction
absorption coefficient;a measure of the rate of decrease in the intensity of electromagnetic radiation, as light, as it passes through a given substance
absorptivity;the property of a body that determines the fraction of incident radiation absorbed or absorbable by the body
electron acceptor;a chemical entity that accepts electrons transferred to it from another compound.
accuracy;the extent to which a given measurement agrees with the standard value for that measurement
activation;to make (carbon, a catalyst, molecules, etc.) more active
activity;the capacity of a substance to react, corrected for the loss of reactivity due to the interaction of its constituents
adsorbate;a material that has been or is capable of being adsorbed
adsorbent;a material having capacity or tendency to adsorb another substance
air pressure;the force exerted by air, whether compressed or unconfined, on any surface in contact with it
alum;a white crystalline double sulfate of aluminum
amperometry;a detection of ions in a solution based on electric current or changes in electric current
analysis;intentionally produced decomposition or separation of materials into their ingredients or elements, as to find their kind or quantity
analytical chemistry;the branch of chemistry dealing with techniques which yield any type of information about chemical systems
angle;the space within two lines or three or more planes diverging from a common point, or within two planes diverging from a common line
antacid;an agent that counteracts or neutralizes acidity
antienzyme;a substance that inhibits or counteracts the action of an enzyme
antichlor;any of various substances, especially sodium thiosulfate, used for removing excess chlorine from paper pulp, textile, fiber, etc., after bleaching
antifebrin;a white crystalline compound that is derived from aniline and acetic acid
antifreeze;a liquid used in the radiator of an internal-combustion engine to lower the freezing point of the cooling medium
antimatter;matter composed only of antiparticles, especially antiprotons, antineutrons, and positrons.
antioxidant;any substance that inhibits oxidation, as a substance that inhibits oxidative deterioration of gasoline, rubbers, plastics, soaps, etc
antiseptic;free from or cleaned of germs and other microorganisms
aqua;a water
atmosphere;the gaseous envelope surrounding the earth
atmospheric pressure;the pressure exerted by the earth's atmosphere at any given point
balance;a state of equilibrium or equipoise
binary compound;a chemical compound containing two different elements
binding energy;the energy required to separate a single particle or group of particles from a molecule, atom, or nucleus
biochemistry;the study of chemical processes within and relating to living organisms
boiling;steaming or bubbling up under the action of heat
bond;something that binds, fastens, confines, or holds together
bond energy;the amount of energy necessary to break one mole of bonds of a given kind (in gas phase)
bonding;he interactions that account for the association of atoms into molecules, ions, crystals, and other stable species that make up the familiar substances of the everyday world
buffer;a solution containing either a weak acid and its salt or a weak base and its salt, which is resistant to changes in pH
calorie;a unit of energy
capacity;the ability to receive or contain
carbon black;any of various finely divided forms of amorphous carbon prepared by the partial combustion of hydrocarbons, as of natural gas, or by charring wood, bones, or other plant or animal tissues
chain;two or more atoms of the same element, usually carbon, attached as in a chain
change;"to give a completely different form or appearance to; transform"
chelate;a compound containing a ligand bonded to a central metal atom at two or more points
chemical property;a property or characteristic of a substance that is observed during a reaction in which the chemical composition or identity of the substance is changed
chemistry;the science that deals with the composition and properties of substances and various elementary forms of matter
circulation;an act or instance of circulating, moving in a circle or circuit, or flowing
clamp;a device, usually of some rigid material, for strengthening or supporting objects or fastening them together
coefficients;a number or quantity placed (generally) before and multiplying another quantity
collision;the meeting of particles or of bodies in which each exerts a force upon the other, causing the exchange of energy or momentum
colloid chemistry;a mixture in which one substance of microscopically dispersed insoluble particles is suspended throughout another substance
combination;a selection of items from a collection, such that the order of selection does not matter
complex ion;a metal ion at its center with a number of other molecules or ions surrounding it
component;one of the set of the minimum number of chemical constituents by which every phase of a given system can be described
composite;made up of disparate or separate parts or elements
composition;the act of combining parts or elements to form a whole
compound;composed of two or more parts, elements, or ingredients
concentrated solution;a solution that contains a large amount of solute relative to the amount that could dissolve
concentration;the amount of a substance per defined space
configuration;an atomic spatial arrangement that is fixed by the chemical bonding in a molecule and that cannot be altered without breaking bonds 
constant;"not changing or varying; uniform; regular; invariable"
covalent bond;the bond formed by the sharing of a pair of electrons by two atoms
cover;something that covers, as the lid of a container
cracking;the process of breaking down certain hydrocarbons into simpler ones of lower boiling points by means of excess heat, distillation under pressure, etc
critical mass;the smallest amount of fissile material needed for a sustained nuclear chain reaction
critical point;the end point of a phase equilibrium curve
critical pressure;the pressure of a gas or the saturated vapor pressure of a substance in its critical state
critical temperature;the temperature of a gas in its critical state, above which it cannot be liquefied by pressure alone
curve;a continuously bending line, without angles
data;individual facts, statistics, or items of information
definition;the formal statement of the meaning or significance of a word, phrase, idiom, etc
dehydration agent;a chemical compound used to drive a dehydration reaction
deionized water;the water without charged atoms or molecules (ions)
detergent;a surfactant or a mixture of surfactants with cleaning properties in dilute solutions
deuterium;an isotope of hydrogen, having twice the mass of ordinary hydrogen
diluent;a substance used to dilute something
dipole;a pair of electric point charges or magnetic poles of equal magnitude and opposite signs, separated by an infinitesimal distance
direct combination;a reaction where two or more elements or compounds combine to form a single compound 
direct combustion reaction;a type of chemical reaction where a compound and an oxidant is reacted to produce heat and a new product
direct current;the unidirectional flow or movement of electric charge carriers
disproportionation;a reaction in which a substance is simultaneously oxidized and reduced, giving two different products
distillation;the product obtained from the condensation of vapors in distillation
double bond;a chemical linkage consisting of two covalent bonds between two atoms of a molecule, represented in chemical formulas by two lines, two dots, or four dots
element;a component or constituent of a whole or one of the parts into which a whole may be resolved by analysis
elevation;the height to which something is elevated or to which it rises
empirical formula;a chemical formula indicating the elements of a compound and their relative proportions, as (CH 2 O) n
emulsion;a suspension where an unmixable liquid is held in another liquid
endpoint;the point on each side of an interval marking its extremity on that side
enthalpy;a thermodynamic quantity equivalent to the total heat content of a system
enzyme;any of various proteins, as pepsin, originating from living cells and capable of producing certain chemical changes in organic substances by catalytic action, as in digestion
equation;a symbolic representation showing the kind and amount of the starting materials and products of a reaction
equivalent;having the same capacity to combine or react chemically
equivalent masses;the mass of a substance especially in grams that combines with or is chemically equivalent to eight grams of oxygen or one gram of hydrogen
experiment;a test, trial, or tentative procedure
fiber;a fine, threadlike piece, as of cotton, jute, or asbestos
filler;a substance added to a product as to increase bulk, weight, viscosity, opacity, or strength
filtrate;any of various mechanical, physical or biological operations that separate solids from fluids by adding a medium through which only the fluid can pass
force;"strength; energy; power; intensity"
formula;an expression of the constituents of a compound by symbols and figures
formula mass;the mass of a molecule
fossil;any remains, impression, or trace of a living thing of a former geologic age, as a skeleton, footprint, etc
free energy;a thermodynamic quantity given by the subtraction between the internal energy of a system and the product of its absolute temperature and entropy
free radical;an especially reactive atom or group of atoms that has one or more unpaired electrons
freezing point;the temperature at which a liquid turns into a solid when cooled
frequency;the number of periods or regularly occurring events of any given kind in unit of time, usually in one second
functional group;the group of atoms in a compound, such as the hydroxyl group in an alcohol, that determines the chemical behavior of the compound
gas;a substance possessing perfect molecular mobility and the property of indefinite expansion, as opposed to a solid or liquid
halogen;any of the electronegative elements, fluorine, chlorine, iodine, bromine, and astatine, that form binary salts by direct union with metals
hard water;the water that contains magnesium, calcium, or iron salts 
heavy hydrogen;the heavy isotopes of hydrogen, especially deuterium
heterocyclic;a cyclic compound in which at least one of the ring members is not a carbon atom 
homogenous mixture;"any combination of substances that has uniform composition and properties; a mixture that is uniform "
hydrogen bomb;a bomb, more powerful than an atomic bomb, that derives its explosive energy from the thermonuclear fusion reaction of hydrogen isotopes
hydrogen bond;a type of chemical bond in which a hydrogen atom that has a covalent link with one of the electronegative atoms (F, N, O) forms an electrostatic link with another electronegative atom in the same or another molecule
hypothesis;a proposition assumed as a premise in an argument
impurity;a quality or state of being impure
ideal gas;a gas composed of molecules on which no forces act except upon collision with one another and with the walls of the container in which the gas is enclosed
increment;the act or process of increasing
inorganic;not having the structure or organization characteristic of living bodies
inorganic chemistry;the branch of chemistry dealing with inorganic compounds
insecticide;a substance or preparation used for killing insects
intermediate;a derivative of the initial material formed before the desired product of a chemical process
ion;an electrically charged atom or group of atoms formed by the loss or gain of one or more electrons
ionic bond;the electrostatic bond between two ions formed through the transfer of one or more electrons
irreversible;incapable of being changed
isolation;an act or instance of isolating
isomer;a molecule with the same molecular formula as another molecule, but with a different chemical structure
isomerization;to convert into an isomer
isotope;any of two or more forms of a chemical element, having the same number of protons in the nucleus, or the same atomic number, but having different numbers of neutrons in the nucleus, or different atomic weights
kilogram;a unit of mass equal to 1000 grams
kinetic energy;the work needed to accelerate a body of a given mass from rest to its stated velocity
kinetics;the branch of mechanics that deals with the actions of forces in producing or changing the motion of masses
level;a relative degree, as of achievement, intensity, or concentration
light metal;any metal of relatively low density
liquid crystal;a liquid having certain crystalline characteristics, especially different optical properties in different directions when exposed to an electric field
macromolecule;a very large molecule, as a colloidal particle, protein, or especially a polymer, composed of hundreds or thousands of atoms
matter;the substance or substances of which any physical object consists or is composed
metallic bond;the type of chemical bond between atoms in a metallic element, formed by the valence electrons moving freely through the metal lattice
metallic conduction;a conduction of electrical current through a metal or along a metallic surface
microanalysis;the analysis of very small samples of substances
mixture;an aggregate of two or more substances that are not chemically united and that exist in no fixed proportion to each other
molar concentration;a measure of the concentration of a solute in a solution, or of any chemical species, in terms of amount of substance per unit volume
molecular formula;a chemical formula that indicates the kinds of atoms and the number of each kind in a molecule of a compound
mole;the unit of measurement for amount of substance in the International System of Units (SI)
molecule;the smallest physical unit of an element or compound, consisting of one or more like atoms in an element and two or more different atoms in a compound
monomer;a molecule of low molecular weight capable of reacting with identical or different molecules of low molecular weight to form a polymer
neutral solution;a solution which has an equal concentration of [H+] and [OH-] ions 
noble gas;any of the chemically inert gaseous elements of group 8A or 0 of the periodic table: helium, neon, argon, krypton, xenon, and radon
non-electrolyte;a substance whose aqueous solutions do not conduct electricity
nonmetal;an element not having the character of a metal, as carbon or nitrogen
nonpolar molecule;an equal sharing of electrons between the two atoms of a diatomic molecule or because of the symmetrical arrangement of polar bonds in a more complex molecule
normal solution;a solution made by dissolving 1 g-equivalent weight of a substance in sufficient distilled water to make 1 L of solution
nuclear energy;energy released by reactions within atomic nuclei, as in nuclear fission or fusion
nuclear fission;a nuclear reaction or a radioactive decay process in which the nucleus of an atom splits into smaller parts
nuclear fuel;fissile or fertile material that undergoes fission in a nuclear reactor
nuclear fusion;a reaction in which two or more atomic nuclei come close enough to form one or more different atomic nuclei and subatomic particles
nuclear reaction;the process in which two nuclei, or else a nucleus of an atom and a subatomic particle from outside the atom, collide to produce one or more nuclides that are different from the nuclide(s) that began the process
number;a word or symbol, or a combination of words or symbols, used in counting or in noting a total
nylon;any of a class of thermoplastic polyamides capable of extrusion when molten into fibers, sheets, etc
observed value;the value that is actually observed
oil;any of a large class of substances typically unctuous, viscous, combustible, liquid at ordinary temperatures, and soluble in ether or alcohol but not in water
optical;visual
optical rotation;the rotation of the plane of polarization of linearly polarized light as it travels through certain materials
orbit;the path traced by an electron revolving around the nucleus of an atom
orbital;of or relating to an orbit
order;a condition in which each thing is properly disposed with reference to other things and to its purpose
order of reaction;the index, or exponent, to which its concentration term in the rate equation is raised
organic;noting or pertaining to a class of chemical compounds that formerly comprised only those existing in or derived from plants or animals, but that now includes all other compounds of carbon
organic chemistry;the branch of chemistry, originally limited to substances found only in living organisms, dealing with the compounds of carbon
organic compound;any chemical compound that contains carbon
ozone;a form of oxygen, O3, with a peculiar odor suggesting that of weak chlorine, produced when an electric spark or ultraviolet light is passed through air or oxygen
pair;something consisting of or regarded as having two parts or pieces joined together
percentage composition;the percent by mass of each element present in a compound
percentage error;a special case of the percentage form of relative change calculated from the absolute change between the experimental and theoretical values, and dividing by the theoretical value
perfect;accurate, exact, or correct in every detail
period;any specified division or portion of time
periodic;recurring at intervals of time
periodic law;the elements when arranged in the order of their atomic numbers show a periodic variation of atomic structure and of most of their properties
periodic table;a table illustrating the periodic system, in which the chemical elements, formerly arranged in the order of their atomic weights and now according to their atomic numbers, are shown in related groups
petroleum;an oily, thick, flammable, usually dark-colored liquid that is a form of bitumen or a mixture of various hydrocarbons, occurring naturally in various parts of the world and commonly obtained by drilling
phase;a physically distinctive form of matter, such as a solid, liquid, gas or plasma
photochemistry;the branch of chemistry concerned with the chemical effects of light
photon;a type of elementary particle, the quantum of the electromagnetic field including electromagnetic radiation such as light, and the force carrier for the electromagnetic force
physical change;a usually reversible change in the physical properties of a substance, as size or shape
point;a specified degree, condition, or limit, as in a scale or course
polar bond;a type of covalent bond between two atoms in which electrons are shared unequally
polar molecule;a net dipole as a result of the opposing charges (i.e. having partial positive and partial negative charges)
potential energy;the energy possessed by an object because of its position relative to other objects
precipitant;any force or reagent which causes the formation of a precipitate
precipitate;the creation of a solid from a solution
atmospheric precipitation;any product of the condensation of atmospheric water vapor that falls under gravity
product;a thing produced by labor
proof;anything serving as such evidence
proton acceptor;a base, an anionic substance that accepts a proton during an acid-base reaction
purity;the condition or quality of being pure
qualitative analysis;a method of analytical chemistry which seeks to find elemental composition of inorganic compounds
quality control;a process by which entities review the quality of all factors involved in production
radiation;the process in which energy is emitted as particles or waves
radiocarbon;a radioactive isotope of carbon with an atomic nucleus containing 6 protons and 8 neutrons
rare;"coming or occurring far apart in time; unusual; uncommon"
rare gas;any of the chemically inert gaseous elements of group 8A or 0 of the periodic table: helium, neon, argon, krypton, xenon, and radon
rare metal;a rare, naturally occurring metallic chemical element of high economic value
ray;a narrow beam of light
reflux;a flowing back
regeneration;act of regenerating
replicating ;the act or process of replicating, especially for experimental purposes
ring;an ambiguous term referring either to a simple cycle of atoms and bonds in a molecule or to a connected set of atoms and bonds in which every atom and bond is a member of a cycle
saturated compound;a chemical compound that has a chain of carbon atoms linked together by single bonds
saturated solution;a chemical solution containing saturated compound
scientific method;a method of research in which a problem is identified, relevant data are gathered, a hypothesis is formulated from these data, and the hypothesis is empirically tested
scientific notation;a method for expressing a given quantity as a number having significant digits necessary for a specified degree of accuracy, multiplied by 10 to the appropriate power, as 1385.62 written as 1.386 × 10^3
yeast;an eukaryotic, single-celled microorganisms classified as members of the fungus kingdom
X-rays;a form of electromagnetic radiation, similar to light but of shorter wavelength and capable of penetrating solids and of ionizing gases
wave;a disturbance that travels through a medium
water vapor;a dispersion, in air, of molecules of water, especially as produced by evaporation at ambient temperatures rather than by boiling
water pollution;the addition of harmful chemicals to natural water
water glass;the common name for compounds with the formula (Na2SiO2)nO
water gas;a toxic gaseous mixture consisting chiefly of carbon monoxide and hydrogen, prepared from steam and incandescent coke
volumetric analysis;determination of the concentration, by volume, of a substance in a solution, as by titration
vicinal;describes any two functional groups bonded to two adjacent carbon atoms
ultraviolet radiation;an electromagnetic radiation with a wavelength from 10 nm to 400 nm, shorter than that of visible light but longer than X-rays
ultimate analysis;the determination of the percentage of constituent elements of a chemical substance
true solution;a homogeneous mixture of two or more substances in which substance dissolved (solute) in solvent has the particle size of less than 10-9 m or 1 nm
tritium;an isotope of hydrogen having an atomic weight of three
triple point;a substance which the three phases (gas, liquid, and solid) of that substance coexist in thermodynamic equilibrium
triple bond;a chemical bond between two atoms involving six bonding electrons instead of the usual two in a covalent single bond
transmutation;the action of changing or the state of being changed into another form
titrant;a solution of known concentration which is added (titrated) to another solution to determine the concentration of a second chemical species
thermochemistry;the branch of chemistry dealing with the relationship between chemical action and heat
theory;a contemplative and rational type of abstract or generalizing thinking, or the results of such thinking
solid solution;a solid, homogeneous mixture of substances, as glass or certain alloys
solute;the substance dissolved in a given solution
solution;a homogeneous, molecular mixture of two or more substances
solvent;a substance that dissolves a solute ( liquid, solid or gas), resulting in a solution
spectroscopy;the study of the interaction between matter and electromagnetic radiation
stability;occurs when a system is in its lowest energy state, or chemical equilibrium with its environment
stabilization;a substance added to prevent unwanted change in state of another substance
stabilizer;a chemical that is used to prevent degradation
standard solution;a solution containing a precisely known concentration of an element or a substance
state;the condition of matter with respect to structure, form, constitution, phase, or the like
stereochemistry;a subdiscipline of chemistry, involves the study of the relative spatial arrangement of atoms that form the structure of molecules and their manipulation
stereoisomer;any of two or more isomers exhibiting stereoisomerism
strong electrolyte;a solution/solute that completely, or almost completely, ionizes or dissociates in a solution
structural formula;a chemical formula showing the linkage of the atoms in a molecule diagrammatically, as H–O–H
sublevel;an energy level defined by quantum theory which  to energies associated with electrons
subscript;any character, number, or symbol written next to and slightly below another
chemical substance;a form of matter that has constant chemical composition and characteristic properties
substituent;an atom or group of atoms which replaces one or more hydrogen atoms on the parent chain of a hydrocarbon, becoming a moiety of the resultant new molecule
supersaturated solution;a state of a solution that contains more of the dissolved material than could be dissolved by the solvent under normal circumstances
surface;extent or area of outer face
surface area;a measure of the total area that the surface of the object occupies
suspension;the state in which the particles of a substance are mixed with a fluid but are undissolved
